id,Bus_name,Bus_Type,Departure_Time,Arrival_Time,Duration,Fare,Rating,Seat_Availability,Bus_Link,Bus_Route
1,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,5:50,10h 35m,900,3.8,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
2,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,8:35,10h 50m,564,4.6,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
3,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,8:45,10h 15m,626,4.6,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
4,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,8:30,11h 30m,699,4.6,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
5,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,7:30,10h 30m,601,4.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
6,Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00,8:00,14h 00m,600,4.2,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
7,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,6:22,08h 50m,999,4.8,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
8,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,9:10,10h 40m,999,4.8,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
9,AdIndumati Travels,A/C Sleeper (2+1),21:00,7:00,10h 00m,760,3.9,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
10,IntrCity SmartBus,AC Sleeper (2+1),19:30,5:35,10h 05m,1223,4.6,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
11,Zingbus Plus,VE A/C Sleeper (2+1),20:00,11:20,15h 20m,836,4.7,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
12,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:55,9:35,13h 40m,849,4.4,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
13,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,8:40,15h 40m,751,4.5,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
14,AdIntrCity SmartBus,AC Sleeper (2+1),15:50,8:10,16h 20m,799,4.3,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
15,IntrCity SmartBus,AC Sleeper (2+1),17:00,8:15,15h 15m,798,4.3,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
16,Zingbus Plus,VE A/C Sleeper (2+1),18:00,9:35,15h 35m,644,4.3,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
17,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),13:30,6:30,17h 00m,810,4.3,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
18,AdDolphin Travel House (40),A/C Sleeper (2+1),20:45,14:00,17h 15m,910,3.7,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
19,IntrCity SmartBus,AC Sleeper (2+1),16:00,8:20,16h 20m,600,4.2,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
20,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),15:30,8:30,17h 00m,810,4.2,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
21,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,8:05,13h 55m,737,4.5,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
22,IntrCity SmartBus,AC Sleeper (2+1),19:30,9:40,14h 10m,1223,4.5,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
23,Zingbus Plus,VE A/C Sleeper (2+1),19:40,10:00,14h 20m,890,4.4,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
24,AdVAILANKANNI TRAVELS,VE A/C Sleeper (2+1),20:40,9:30,12h 50m,800,3.6,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
25,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,11:50,13h 50m,990,4.4,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
26,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:30,8:10,12h 40m,899,4.4,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
27,Zingbus Plus,VE A/C Sleeper (2+1),20:25,10:40,14h 15m,726,4.6,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
28,AdJolly Tours and Travels,VE A/C Sleeper (2+1),18:25,6:30,12h 05m,1499,4.1,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
29,IntrCity SmartBus,AC Sleeper (2+1),18:30,9:00,14h 30m,831,4.2,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
30,IntrCity SmartBus,AC Sleeper (2+1),21:00,11:20,14h 20m,751,4.2,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
31,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,10:00,12h 45m,735,3.1,,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
32,Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,10:15,13h 15m,1399,4.6,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
33,Sunrise Tours and Travels,A/C Sleeper (2+1),21:20,10:15,12h 55m,1099,4.5,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
34,VKV Travels,A/C Sleeper (2+1),22:55,10:00,11h 05m,1840,4.3,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
35,Streamline tours and travels,A/C Sleeper (2+1),21:15,10:15,13h 00m,1010,4.2,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
36,IntrCity SmartBus,AC Sleeper (2+1),20:30,9:40,13h 10m,1144,4.3,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
37,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,7:00,12h 00m,735,3.1,,https://www.redbus.in/bus-tickets/goa-to-pandharpur,Goa to Pandharpur
38,Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater 2+2,16:00,19:45,03h 45m,170,2.6,19 Seats available,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa
39,Shirdi Xpress,A/C Sleeper (2+1),8:15,11:30,03h 15m,819,3.4,1 Seat available,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa
40,Humsafar Travels,A/C Sleeper (2+1),4:30,9:00,04h 30m,1650,1.3,17 Seats available,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa
41,S R Travels,NON A/C Sleeper (2+1),1:00,6:00,05h 00m,799,1.2,,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa
42,Intercity travels,Bharat Benz A/C Sleeper (2+1),18:00,7:15,13h 15m,1199,4.6,,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
43,Sunrise Tours and Travels,A/C Sleeper (2+1),18:30,7:10,12h 40m,1099,4.4,,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
44,Streamline tours and travels,A/C Sleeper (2+1),19:00,7:30,12h 30m,1000,4.1,,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
45,VKV Travels,A/C Sleeper (2+1),13:00,1:00,12h 00m,1740,4.5,,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
46,Streamline tours and travels,A/C Sleeper (2+1),18:00,6:30,12h 30m,1020,4.1,,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
47,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,20:00,10:00,14h 00m,850,3,,https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
